SO,WC,SC
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,"Psychology, Clinical; Clinical Neurology; Psychology",Psychology; Neurosciences & Neurology
JOURNAL OF CLINICAL ANESTHESIA,Anesthesiology,Anesthesiology
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,Endocrinology & Metabolism,Endocrinology & Metabolism
JOURNAL OF CLINICAL GASTROENTEROLOGY,Gastroenterology & Hepatology,Gastroenterology & Hepatology
JOURNAL OF CLINICAL IMMUNOLOGY,Immunology,Immunology
JOURNAL OF CLINICAL INVESTIGATION,"Medicine, Research & Experimental",Research & Experimental Medicine
JOURNAL OF CLINICAL LIPIDOLOGY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
JOURNAL OF CLINICAL MICROBIOLOGY,Microbiology,Microbiology
JOURNAL OF CLINICAL NEUROLOGY,Clinical Neurology,Neurosciences & Neurology
JOURNAL OF CLINICAL NURSING,Nursing,Nursing
JOURNAL OF CLINICAL ONCOLOGY,Oncology,Oncology
JOURNAL OF CLINICAL PATHOLOGY,Pathology,Pathology
JOURNAL OF CLINICAL PSYCHIATRY,"Psychology, Clinical; Psychiatry",Psychology; Psychiatry
JOURNAL OF CLINICAL PSYCHOLOGY,"Psychology, Clinical",Psychology
JOURNAL OF CLUSTER SCIENCE,"Chemistry, Inorganic & Nuclear",Chemistry
JOURNAL OF COLD REGIONS ENGINEERING,"Engineering, Environmental; Engineering, Civil; Geosciences, Multidisciplinary",Engineering; Geology
JOURNAL OF COLLOID AND INTERFACE SCIENCE,"Chemistry, Physical",Chemistry
JOURNAL OF COMPARATIVE NEUROLOGY,Neurosciences; Zoology,Neurosciences & Neurology; Zoology
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,"Mathematics, Applied",Mathematics
JOURNAL OF COMPUTATIONAL CHEMISTRY,"Chemistry, Multidisciplinary",Chemistry
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,"Radiology, Nuclear Medicine & Medical Imaging","Radiology, Nuclear Medicine & Medical Imaging"
JOURNAL OF CONSUMER RESEARCH,Business,Business & Economics
JOURNAL OF CONTAMINANT HYDROLOGY,"Environmental Sciences; Geosciences, Multidisciplinary; Water Resources",Environmental Sciences & Ecology; Geology; Water Resources
JOURNAL OF CONTROLLED RELEASE,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",Chemistry; Pharmacology & Pharmacy
JOURNAL OF COORDINATION CHEMISTRY,"Chemistry, Inorganic & Nuclear",Chemistry
JOURNAL OF CROHNS & COLITIS,Gastroenterology & Hepatology,Gastroenterology & Hepatology
JOURNAL OF CRYSTAL GROWTH,"Crystallography; Materials Science, Multidisciplinary; Physics, Applied",Crystallography; Materials Science; Physics
JOURNAL OF CUTANEOUS PATHOLOGY,Dermatology; Pathology,Dermatology; Pathology
JOURNAL OF DENTAL RESEARCH,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
JOURNAL OF DERMATOLOGY,Dermatology,Dermatology
JOURNAL OF DIABETES RESEARCH,"Endocrinology & Metabolism; Medicine, Research & Experimental",Endocrinology & Metabolism; Research & Experimental Medicine
JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,"Chemistry, Physical",Chemistry
JOURNAL OF DRUG TARGETING,Pharmacology & Pharmacy,Pharmacology & Pharmacy
JOURNAL OF ECOLOGY,Plant Sciences; Ecology,Plant Sciences; Environmental Sciences & Ecology
JOURNAL OF ECONOMIC POLICY REFORM,Economics; Planning & Development,Business & Economics; Public Administration
JOURNAL OF EDUCATION POLICY,Education & Educational Research,Education & Educational Research
JOURNAL OF ELECTRONIC MATERIALS,"Engineering, Electrical & Electronic; Materials Science, Multidisciplinary; Physics, Applied",Engineering; Materials Science; Physics
JOURNAL OF ENDOCRINOLOGY,Endocrinology & Metabolism,Endocrinology & Metabolism
JOURNAL OF ENDODONTICS,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,Energy & Fuels,Energy & Fuels
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,"Business; Engineering, Industrial; Management",Business & Economics; Engineering
JOURNAL OF ENGINEERING MECHANICS-ASCE,"Engineering, Mechanical",Engineering
JOURNAL OF ENGINEERING THERMOPHYSICS,"Thermodynamics; Engineering, Mechanical; Mechanics",Thermodynamics; Engineering; Mechanics
JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING,"Engineering, Environmental; Environmental Sciences",Engineering; Environmental Sciences & Ecology
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,"Environmental Studies; Psychology, Multidisciplinary",Environmental Sciences & Ecology; Psychology
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,Environmental Sciences,Environmental Sciences & Ecology
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,"Environmental Sciences; Public, Environmental & Occupational Health","Environmental Sciences & Ecology; Public, Environmental & Occupational Health"
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,"Biochemistry & Molecular Biology; Chemistry, Medicinal",Biochemistry & Molecular Biology; Pharmacology & Pharmacy
JOURNAL OF ESSENTIAL OIL RESEARCH,"Chemistry, Applied; Food Science & Technology",Chemistry; Food Science & Technology
JOURNAL OF ETHNOPHARMACOLOGY,"Plant Sciences; Chemistry, Medicinal; Integrative & Complementary Medicine; Pharmacology & Pharmacy",Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,Oncology,Oncology
JOURNAL OF EXPERIMENTAL BIOLOGY,Biology,Life Sciences & Biomedicine - Other Topics
JOURNAL OF EXPERIMENTAL BOTANY,Plant Sciences,Plant Sciences
JOURNAL OF EXPERIMENTAL MEDICINE,"Immunology; Medicine, Research & Experimental",Immunology; Research & Experimental Medicine
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,"Psychology, Experimental",Psychology
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,"Psychology, Social",Psychology
JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,"Environmental Sciences; Public, Environmental & Occupational Health; Toxicology","Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Toxicology"
JOURNAL OF FISH BIOLOGY,Fisheries; Marine & Freshwater Biology,Fisheries; Marine & Freshwater Biology
JOURNAL OF FLUORESCENCE,"Biochemical Research Methods; Chemistry, Analytical; Chemistry, Physical",Biochemistry & Molecular Biology; Chemistry
JOURNAL OF FOOD PROCESSING AND PRESERVATION,Food Science & Technology,Food Science & Technology
JOURNAL OF FOOD SCIENCE,Food Science & Technology,Food Science & Technology
JOURNAL OF FOOT & ANKLE SURGERY,Orthopedics; Surgery,Orthopedics; Surgery
JOURNAL OF FORENSIC AND LEGAL MEDICINE,"Medicine, Legal",Legal Medicine
JOURNAL OF FORENSIC SCIENCES,"Medicine, Legal",Legal Medicine
JOURNAL OF FUSION ENERGY,Nuclear Science & Technology,Nuclear Science & Technology
JOURNAL OF GASTROINTESTINAL AND LIVER DISEASES,Gastroenterology & Hepatology,Gastroenterology & Hepatology
JOURNAL OF GASTROINTESTINAL SURGERY,Gastroenterology & Hepatology; Surgery,Gastroenterology & Hepatology; Surgery
JOURNAL OF GENE MEDICINE,"Biotechnology & Applied Microbiology; Genetics & Heredity; Medicine, Research & Experimental",Biotechnology & Applied Microbiology; Genetics & Heredity; Research & Experimental Medicine
JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,Biotechnology & Applied Microbiology; Microbiology,Biotechnology & Applied Microbiology; Microbiology
JOURNAL OF GENERAL VIROLOGY,Biotechnology & Applied Microbiology; Virology,Biotechnology & Applied Microbiology; Virology
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,Meteorology & Atmospheric Sciences,Meteorology & Atmospheric Sciences
JOURNAL OF HAND SURGERY-EUROPEAN VOLUME,Orthopedics; Surgery,Orthopedics; Surgery
JOURNAL OF HAZARDOUS MATERIALS,"Engineering, Environmental; Engineering, Civil; Environmental Sciences",Engineering; Environmental Sciences & Ecology
JOURNAL OF HEART AND LUNG TRANSPLANTATION,Cardiac & Cardiovascular Systems; Respiratory System; Surgery; Transplantation,Cardiovascular System & Cardiology; Respiratory System; Surgery; Transplantation
JOURNAL OF HEPATOLOGY,Gastroenterology & Hepatology,Gastroenterology & Hepatology
JOURNAL OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT,Public Administration,Public Administration
JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,Horticulture,Agriculture
JOURNAL OF HOSPITAL INFECTION,Infectious Diseases,Infectious Diseases
JOURNAL OF HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY-MEDICAL SCIENCES,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
JOURNAL OF HUMAN GENETICS,Genetics & Heredity,Genetics & Heredity
JOURNAL OF HUMAN HYPERTENSION,Peripheral Vascular Disease,Cardiovascular System & Cardiology
JOURNAL OF HYDROLOGIC ENGINEERING,"Engineering, Civil; Environmental Sciences; Water Resources",Engineering; Environmental Sciences & Ecology; Water Resources
JOURNAL OF HYPERTENSION,Peripheral Vascular Disease,Cardiovascular System & Cardiology
JOURNAL OF IMMUNOLOGY,Immunology,Immunology
JOURNAL OF IMMUNOTOXICOLOGY,Toxicology,Toxicology
JOURNAL OF INEQUALITIES AND APPLICATIONS,"Mathematics, Applied; Mathematics",Mathematics
JOURNAL OF INFECTIOUS DISEASES,Immunology; Infectious Diseases; Microbiology,Immunology; Infectious Diseases; Microbiology
JOURNAL OF INSECT BEHAVIOR,Entomology,Entomology
JOURNAL OF INSECT CONSERVATION,Biodiversity Conservation; Entomology,Biodiversity & Conservation; Entomology
JOURNAL OF INSECT SCIENCE,Entomology,Entomology
JOURNAL OF INTEGRATIVE PLANT BIOLOGY,Biochemistry & Molecular Biology; Plant Sciences,Biochemistry & Molecular Biology; Plant Sciences
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,Biochemistry & Molecular Biology; Cell Biology; Immunology,Biochemistry & Molecular Biology; Cell Biology; Immunology
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,"Medicine, Research & Experimental; Pharmacology & Pharmacy",Research & Experimental Medicine; Pharmacology & Pharmacy
JOURNAL OF INVESTIGATIVE MEDICINE,"Medicine, General & Internal; Medicine, Research & Experimental",General & Internal Medicine; Research & Experimental Medicine
JOURNAL OF ISLAMIC STUDIES,"Humanities, Multidisciplinary",Arts & Humanities - Other Topics
JOURNAL OF KOREAN ACADEMY OF NURSING,Nursing,Nursing
JOURNAL OF KOREAN MEDICAL SCIENCE,"Medicine, General & Internal",General & Internal Medicine
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,"Biochemical Research Methods; Chemistry, Medicinal; Chemistry, Analytical",Biochemistry & Molecular Biology; Pharmacology & Pharmacy; Chemistry
JOURNAL OF LANGUAGE IDENTITY AND EDUCATION,Education & Educational Research; Linguistics; Language & Linguistics,Education & Educational Research; Linguistics
JOURNAL OF LEUKOCYTE BIOLOGY,Cell Biology; Hematology; Immunology,Cell Biology; Hematology; Immunology
JOURNAL OF LIPID RESEARCH,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,"Engineering, Chemical",Engineering
JOURNAL OF LOWER GENITAL TRACT DISEASE,Obstetrics & Gynecology,Obstetrics & Gynecology
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,"Materials Science, Multidisciplinary; Physics, Condensed Matter",Materials Science; Physics
JOURNAL OF MANAGEMENT STUDIES,Business; Management,Business & Economics
JOURNAL OF MAPS,"Geography; Geography, Physical",Geography; Physical Geography
JOURNAL OF MARINE SYSTEMS,"Geosciences, Multidisciplinary; Marine & Freshwater Biology; Oceanography",Geology; Marine & Freshwater Biology; Oceanography
JOURNAL OF MATERIALS CHEMISTRY,"Chemistry, Physical; Materials Science, Multidisciplinary",Chemistry; Materials Science
JOURNAL OF MATERIALS CHEMISTRY B,"Materials Science, Biomaterials",Materials Science
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,"Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary",Construction & Building Technology; Engineering; Materials Science
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,"Engineering, Industrial; Engineering, Manufacturing; Materials Science, Multidisciplinary",Engineering; Materials Science
JOURNAL OF MATERIALS SCIENCE,"Materials Science, Multidisciplinary",Materials Science
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science
JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE,Obstetrics & Gynecology,Obstetrics & Gynecology
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,"Mathematics, Applied; Mathematics",Mathematics
JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,"Engineering, Mechanical",Engineering
JOURNAL OF MECHANICS,Mechanics,Mechanics
JOURNAL OF MEDIA ECONOMICS,Communication; Economics,Communication; Business & Economics
JOURNAL OF MEDICAL GENETICS,Genetics & Heredity,Genetics & Heredity
JOURNAL OF MEDICAL PRIMATOLOGY,Veterinary Sciences; Zoology,Veterinary Sciences; Zoology
JOURNAL OF MEDICINAL CHEMISTRY,"Chemistry, Medicinal",Pharmacology & Pharmacy
JOURNAL OF MEMBRANE BIOLOGY,Biochemistry & Molecular Biology; Cell Biology; Physiology,Biochemistry & Molecular Biology; Cell Biology; Physiology
JOURNAL OF MICROBIOLOGY,Microbiology,Microbiology
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,Biotechnology & Applied Microbiology; Microbiology,Biotechnology & Applied Microbiology; Microbiology
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,"Engineering, Electrical & Electronic; Nanoscience & Nanotechnology; Instruments & Instrumentation; Materials Science, Multidisciplinary; Mechanics",Engineering; Science & Technology - Other Topics; Instruments & Instrumentation; Materials Science; Mechanics
JOURNAL OF MICROSCOPY,Microscopy,Microscopy
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,Cardiac & Cardiovascular Systems; Cell Biology,Cardiovascular System & Cardiology; Cell Biology
JOURNAL OF MOLECULAR BIOLOGY,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,"Chemistry, Physical",Chemistry
JOURNAL OF MOLECULAR CELL BIOLOGY,Cell Biology,Cell Biology
JOURNAL OF MOLECULAR HISTOLOGY,Cell Biology,Cell Biology
JOURNAL OF MOLECULAR MEDICINE-JMM,"Genetics & Heredity; Medicine, Research & Experimental",Genetics & Heredity; Research & Experimental Medicine
JOURNAL OF MOLECULAR MODELING,"Biochemistry & Molecular Biology; Biophysics; Chemistry, Multidisciplinary; Computer Science, Interdisciplinary Applications",Biochemistry & Molecular Biology; Biophysics; Chemistry; Computer Science
JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,"Chemistry, Physical",Chemistry
JOURNAL OF MULTIVARIATE ANALYSIS,Statistics & Probability,Mathematics
JOURNAL OF NANOMATERIALS,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Science & Technology - Other Topics; Materials Science
JOURNAL OF NANOPARTICLE RESEARCH,"Chemistry, Multidisciplinary; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Chemistry; Science & Technology - Other Topics; Materials Science
JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING,"Energy & Fuels; Engineering, Chemical",Energy & Fuels; Engineering
JOURNAL OF NAVIGATION,"Engineering, Marine; Oceanography",Engineering; Oceanography
JOURNAL OF NEPHROLOGY,Urology & Nephrology,Urology & Nephrology
JOURNAL OF NEURO-ONCOLOGY,Oncology; Clinical Neurology,Oncology; Neurosciences & Neurology
JOURNAL OF NEUROCHEMISTRY,Biochemistry & Molecular Biology; Neurosciences,Biochemistry & Molecular Biology; Neurosciences & Neurology
JOURNAL OF NEUROIMMUNOLOGY,Immunology; Neurosciences,Immunology; Neurosciences & Neurology
JOURNAL OF NEUROINFLAMMATION,Immunology; Neurosciences,Immunology; Neurosciences & Neurology
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,Clinical Neurology; Psychiatry; Surgery,Neurosciences & Neurology; Psychiatry; Surgery
JOURNAL OF NEUROPHYSIOLOGY,Neurosciences; Physiology,Neurosciences & Neurology; Physiology
JOURNAL OF NEUROSCIENCE,Neurosciences,Neurosciences & Neurology
JOURNAL OF NEUROSCIENCE RESEARCH,Neurosciences,Neurosciences & Neurology
JOURNAL OF NEUROTRAUMA,Critical Care Medicine; Clinical Neurology; Neurosciences,General & Internal Medicine; Neurosciences & Neurology
JOURNAL OF NUCLEAR MATERIALS,"Materials Science, Multidisciplinary; Nuclear Science & Technology; Mining & Mineral Processing",Materials Science; Nuclear Science & Technology; Mining & Mineral Processing
JOURNAL OF NUCLEAR MEDICINE,"Radiology, Nuclear Medicine & Medical Imaging","Radiology, Nuclear Medicine & Medical Imaging"
JOURNAL OF NUTRITION,Nutrition & Dietetics,Nutrition & Dietetics
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,Biochemistry & Molecular Biology; Nutrition & Dietetics,Biochemistry & Molecular Biology; Nutrition & Dietetics
JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,Obstetrics & Gynecology,Obstetrics & Gynecology
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health"
JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,"Engineering, Ocean; Engineering, Mechanical",Engineering
JOURNAL OF OLEO SCIENCE,"Chemistry, Applied; Food Science & Technology",Chemistry; Food Science & Technology
JOURNAL OF OPTICS,Optics,Optics
JOURNAL OF ORGANIC CHEMISTRY,"Chemistry, Organic",Chemistry
JOURNAL OF ORGANIZATIONAL BEHAVIOR,"Business; Psychology, Applied; Management",Business & Economics; Psychology
JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,Orthopedics,Orthopedics
JOURNAL OF PAIN,Clinical Neurology; Neurosciences,Neurosciences & Neurology
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,"Health Care Sciences & Services; Medicine, General & Internal; Clinical Neurology",Health Care Sciences & Services; General & Internal Medicine; Neurosciences & Neurology
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,Nutrition & Dietetics,Nutrition & Dietetics
JOURNAL OF PATHOLOGY,Oncology; Pathology,Oncology; Pathology
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,Gastroenterology & Hepatology; Nutrition & Dietetics; Pediatrics,Gastroenterology & Hepatology; Nutrition & Dietetics; Pediatrics
JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN & FAMILIES,Nursing; Pediatrics,Nursing; Pediatrics
JOURNAL OF PEDIATRIC ORTHOPAEDICS,Orthopedics; Pediatrics,Orthopedics; Pediatrics
JOURNAL OF PEDIATRICS,Pediatrics,Pediatrics
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"Psychology, Social",Psychology
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,"Energy & Fuels; Engineering, Petroleum",Energy & Fuels; Engineering
JOURNAL OF PHARMACEUTICAL SCIENCES,"Chemistry, Medicinal; Chemistry, Multidisciplinary; Pharmacology & Pharmacy",Pharmacology & Pharmacy; Chemistry
JOURNAL OF PHARMACOLOGICAL SCIENCES,Pharmacology & Pharmacy,Pharmacology & Pharmacy
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Pharmacology & Pharmacy,Pharmacology & Pharmacy
JOURNAL OF PHARMACY AND PHARMACOLOGY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,"Chemistry, Physical",Chemistry
JOURNAL OF PHYSICAL CHEMISTRY B,"Chemistry, Physical",Chemistry
JOURNAL OF PHYSICAL CHEMISTRY C,"Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Chemistry; Science & Technology - Other Topics; Materials Science
JOURNAL OF PHYSICAL THERAPY SCIENCE,Rehabilitation,Rehabilitation
JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,"Chemistry, Multidisciplinary; Physics, Condensed Matter",Chemistry; Physics
JOURNAL OF PHYSICS D-APPLIED PHYSICS,"Physics, Applied",Physics
JOURNAL OF PHYSIOLOGY-LONDON,Neurosciences; Physiology,Neurosciences & Neurology; Physiology
JOURNAL OF PLANT DISEASES AND PROTECTION,"Agriculture, Multidisciplinary; Plant Sciences",Agriculture; Plant Sciences
JOURNAL OF PLANT RESEARCH,Plant Sciences,Plant Sciences
JOURNAL OF POLYMER RESEARCH,Polymer Science,Polymer Science
JOURNAL OF POULTRY SCIENCE,"Agriculture, Dairy & Animal Science",Agriculture
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"Business; Engineering, Industrial; Management",Business & Economics; Engineering
JOURNAL OF PROSTHETIC DENTISTRY,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
JOURNAL OF PSYCHIATRIC RESEARCH,Psychiatry,Psychiatry
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,Neurosciences; Psychiatry,Neurosciences & Neurology; Psychiatry
JOURNAL OF PSYCHOPHARMACOLOGY,Clinical Neurology; Neurosciences; Pharmacology & Pharmacy; Psychiatry,Neurosciences & Neurology; Pharmacology & Pharmacy; Psychiatry
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES,"Materials Science, Composites; Polymer Science",Materials Science; Polymer Science
JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Energy & Fuels,Science & Technology - Other Topics; Energy & Fuels
JOURNAL OF SAUDI CHEMICAL SOCIETY,"Chemistry, Multidisciplinary",Chemistry
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,Sport Sciences,Sport Sciences
JOURNAL OF SEX & MARITAL THERAPY,"Psychology, Clinical; Family Studies",Psychology; Family Studies
JOURNAL OF SEXUAL MEDICINE,Urology & Nephrology,Urology & Nephrology
JOURNAL OF SHOULDER AND ELBOW SURGERY,Orthopedics; Sport Sciences; Surgery,Orthopedics; Sport Sciences; Surgery
JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,"Materials Science, Ceramics",Materials Science
JOURNAL OF SOLID STATE ELECTROCHEMISTRY,Electrochemistry,Electrochemistry
JOURNAL OF SOUND AND VIBRATION,"Acoustics; Engineering, Mechanical; Mechanics",Acoustics; Engineering; Mechanics
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"Computer Science, Interdisciplinary Applications; Statistics & Probability",Computer Science; Mathematics
JOURNAL OF STATISTICAL PLANNING AND INFERENCE,Statistics & Probability,Mathematics
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,Biochemistry & Molecular Biology; Endocrinology & Metabolism,Biochemistry & Molecular Biology; Endocrinology & Metabolism
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,"Engineering, Mechanical; Mechanics; Materials Science, Characterization & Testing",Engineering; Mechanics; Materials Science
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Sport Sciences,Sport Sciences
JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM,"Physics, Applied; Physics, Condensed Matter",Physics
JOURNAL OF SURGICAL RESEARCH,Surgery,Surgery
JOURNAL OF SYMBOLIC COMPUTATION,"Computer Science, Theory & Methods; Mathematics, Applied",Computer Science; Mathematics
JOURNAL OF SYMBOLIC LOGIC,Mathematics; Logic,Mathematics; Science & Technology - Other Topics
JOURNAL OF SYSTEMS ARCHITECTURE,"Computer Science, Hardware & Architecture; Computer Science, Software Engineering",Computer Science
JOURNAL OF SYSTEMS SCIENCE AND SYSTEMS ENGINEERING,Operations Research & Management Science,Operations Research & Management Science
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,"Materials Science, Ceramics",Materials Science
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"Chemistry, Multidisciplinary",Chemistry
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,Surgery,Surgery
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,Geriatrics & Gerontology; Gerontology,Geriatrics & Gerontology
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,"Chemistry, Applied; Food Science & Technology",Chemistry; Food Science & Technology
JOURNAL OF THE AMERICAN SOCIETY OF HYPERTENSION,Peripheral Vascular Disease,Cardiovascular System & Cardiology
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,Urology & Nephrology,Urology & Nephrology
JOURNAL OF THE CHINESE MEDICAL ASSOCIATION,"Medicine, General & Internal",General & Internal Medicine
JOURNAL OF THE ENERGY INSTITUTE,Energy & Fuels,Energy & Fuels
JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,"Materials Science, Ceramics",Materials Science
JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,"Agriculture, Multidisciplinary",Agriculture
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,"Medicine, General & Internal",General & Internal Medicine
JOURNAL OF THE KOREAN PHYSICAL SOCIETY,"Physics, Multidisciplinary",Physics
JOURNAL OF THE KOREAN SOCIETY FOR APPLIED BIOLOGICAL CHEMISTRY,Food Science & Technology,Food Science & Technology
JOURNAL OF THE NATIONAL CANCER INSTITUTE,Oncology,Oncology
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,"Medicine, General & Internal; Medicine, Research & Experimental",General & Internal Medicine; Research & Experimental Medicine
JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,"Physics, Multidisciplinary",Physics
JOURNAL OF THE ROYAL SOCIETY INTERFACE,Multidisciplinary Sciences,Science & Technology - Other Topics
JOURNAL OF THEORETICAL BIOLOGY,Biology; Mathematical & Computational Biology,Life Sciences & Biomedicine - Other Topics; Mathematical & Computational Biology
JOURNAL OF THEORETICAL PROBABILITY,Statistics & Probability,Mathematics
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,Cardiac & Cardiovascular Systems; Respiratory System; Surgery,Cardiovascular System & Cardiology; Respiratory System; Surgery
JOURNAL OF THORACIC DISEASE,Respiratory System,Respiratory System
JOURNAL OF TRANSLATIONAL MEDICINE,"Medicine, Research & Experimental",Research & Experimental Medicine
JOURNAL OF TRANSPORT & HEALTH,"Public, Environmental & Occupational Health; Transportation","Public, Environmental & Occupational Health; Transportation"
JOURNAL OF TRANSPORT GEOGRAPHY,Economics; Geography; Transportation,Business & Economics; Geography; Transportation
JOURNAL OF TRAUMA-INJURY INFECTION AND CRITICAL CARE,Critical Care Medicine; Surgery,General & Internal Medicine; Surgery
JOURNAL OF UROLOGY,Urology & Nephrology,Urology & Nephrology
JOURNAL OF VALUE INQUIRY,Ethics; Philosophy,Social Sciences - Other Topics; Philosophy
